ANO,AVG_pib_growth,AVG_cresc_pib_per_capta,AVG_pib_percapta,AVG_demanda_petroleo,AVG_demanda_gas_natural,AVG_estoques_petroleo,AVG_exportacoes_gas_natural,AVG_importacoes_gas_natural,AVG_importacoes_petroleo,AVG_producao_mundial_gas_natural,AVG_producao_petroleo,AVG_producao_petroliferos,AVG_exportacoes_petroleo,AVG_valor_export_bens_servi_opep,AVG_valor_import_bens_servi_opep,AVG_prod_petroleo_opep,AVG_pib_membros_opep,AVG_crescimento_pib_opep,MAX_pib_growth,MAX_cresc_pib_per_capta,MAX_pib_percapta,MAX_demanda_petroleo,MAX_demanda_gas_natural,MAX_estoques_petroleo,MAX_exportacoes_gas_natural,MAX_importacoes_gas_natural,MAX_importacoes_petroleo,MAX_producao_mundial_gas_natural,MAX_producao_petroleo,MAX_producao_petroliferos,MAX_exportacoes_petroleo,MAX_valor_export_bens_servi_opep,MAX_valor_import_bens_servi_opep,MAX_prod_petroleo_opep,MAX_pib_membros_opep,MAX_crescimento_pib_opep,MIN_pib_growth,MIN_cresc_pib_per_capta,MIN_pib_percapta,MIN_demanda_petroleo,MIN_demanda_gas_natural,MIN_estoques_petroleo,MIN_exportacoes_gas_natural,MIN_importacoes_gas_natural,MIN_importacoes_petroleo,MIN_producao_mundial_gas_natural,MIN_producao_petroleo,MIN_producao_petroliferos,MIN_exportacoes_petroleo,MIN_valor_export_bens_servi_opep,MIN_valor_import_bens_servi_opep,MIN_prod_petroleo_opep,MIN_pib_membros_opep,MIN_crescimento_pib_opep,DESV_pib_growth,DESV_cresc_pib_per_capta,DESV_pib_percapta,DESV_demanda_petroleo,DESV_demanda_gas_natural,DESV_estoques_petroleo,DESV_exportacoes_gas_natural,DESV_importacoes_gas_natural,DESV_importacoes_petroleo,DESV_producao_mundial_gas_natural,DESV_producao_petroleo,DESV_producao_petroliferos,DESV_exportacoes_petroleo,DESV_valor_export_bens_servi_opep,DESV_valor_import_bens_servi_opep,DESV_prod_petroleo_opep,DESV_pib_membros_opep,DESV_crescimento_pib_opep,PRECO,PAIS,pib_growth,cresc_pib_per_capta,pib_percapta,demanda_petroleo,demanda_gas_natural,estoques_petroleo,exportacoes_gas_natural,importacoes_gas_natural,importacoes_petroleo,producao_mundial_gas_natural,producao_petroleo,producao_petroliferos,exportacoes_petroleo,valor_export_bens_servi_opep,valor_import_bens_servi_opep,prod_petroleo_opep,pib_membros_opep,crescimento_pib_opep
2000,6.715384615384616,3.8629122543543204,9930.9583246059,1111.125024658348,38530.928028448616,27972.822354838707,14373.192307692309,14305.0,775.8024381045417,38329.87582022281,1238.9632857142856,1083.3751837494758,982.3088134893545,25336.106970909088,13867.299641487702,1467.3147777777776,56534.00540760606,13.333363636363636,110.5,13.4607875378227,39169.3595701504,19998.96448087432,645310.0,262766.0,102220.0,108970.0,9071.0,543160.0,5821.605,17243.0,6253.1,82259.467,46926.133,2891.0,189514.91022266663,110.505,-4.3,-4.22342810431169,390.093330934266,1.5,30.00424808836024,150.0,0.0,0.0,0.0,20.0,7.199,0.0,0.0,1379.2,609.992,115.962,1156.0,-4.34099999999998,14.87979250030292,3.2431040310379564,11329.705796307971,2810.86928562524,95037.33371407537,52872.49641180135,23352.620561264688,26616.15627771974,1601.3528760962618,86029.39053014983,1240.4350885594783,2492.193244848735,1238.1862515524313,22424.11010804457,13829.48263810025,994.7756426095705,55294.37524119067,30.99148853321073,22.58,Algeria,3.8,2.39949654403225,1765.02714611601,192.35977034209145,20562.91135655621,11314.0,61693.0,,6.196931506849316,83119.0,795.992,373.067072295082,462.17,23051.1,11390.6,795.992,54792.5,3.8000000000000114
2001,4.263461538461539,2.930281244913585,9668.659956543117,1118.7346429012093,39538.73063394281,28960.063548387097,14984.038461538461,14775.3125,790.2021765131099,39338.68534403234,1220.4386071428569,1100.0031247655495,957.9869308480046,21570.47179199999,14603.11439407151,1421.7404444444444,55245.60717871478,6.4899090909090935,60.0,56.7889359897587,37133.2428088526,19997.528767123287,658180.0,262697.0,106290.0,113320.0,9328.0,555450.0,5801.352,17285.0,6035.9,72980.533,44058.4,2791.904,184137.51772486267,60.023000000000025,-6.6,-5.44704817261687,404.807861229282,1.2000000000000002,30.00424808836024,150.0,0.0,0.0,0.0,20.0,6.617999999999999,0.0,0.0,1795.0,847.4300000000001,172.58,1672.0,-6.569000000000003,8.691862437540996,8.574710601336651,10876.670343982503,2808.6829324959126,96768.25431359619,52932.989490124855,23636.892205065906,27056.049344875606,1628.5796139191652,87768.61468424904,1221.4431344042625,2494.7777771996807,1189.7514506241878,20439.310076293546,13388.860348274175,935.5337664811832,55213.48168250477,17.257819795172416,19.35,Algeria,3.0,1.65967258872379,1740.60665427662,192.3447123287671,20442.894364202777,11314.0,56975.0,,4.191452054794521,78240.0,776.6,389.1850588757221,441.5,20072.6,12045.3,776.6,54709.6,3.0
2002,3.609615384615385,2.320836883513201,10023.797107671275,1121.5731989565518,39973.4121846524,28924.92035483871,15771.807692307691,15527.8125,779.1222322143717,39474.37582022281,1193.503321428571,1095.4841072286279,906.8130191610193,22311.09114672727,15185.62721824909,1321.3377777777778,55189.57290559234,3.521727272727273,19.6,14.6134690680883,38023.1611144021,20103.10136986301,635100.0,262790.0,107100.0,113650.0,9140.0,535990.0,5744.052,17273.0,5284.6,77641.333,44830.4,2782.0,189605.9202405157,19.62099999999998,-10.9,-11.8547817184023,430.052872413573,1.2000000000000002,90.0127442650807,150.0,0.0,0.0,0.0,20.0,5.84,0.0,0.0,2117.0,954.248,199.475,2061.0,-8.855999999999995,5.3179037084241205,4.802359693008786,11356.524000565596,2819.164504160084,93543.96573470232,52925.26204750789,24010.290758530424,27444.463209176523,1591.6285059876861,85090.85243464586,1189.2952693697296,2490.1792033750125,1041.8559947741453,21861.917236036352,14145.28717003194,835.7111435969804,54230.784070493355,8.755776566887489,31.49,Algeria,5.6,4.26207201293576,1781.82890798394,208.3343561643836,20412.89011611441,11314.0,57864.0,,7.460383561643836,80367.0,729.9,368.2212187500001,566.2,20152.2,14547.3,729.9,56762.492329,5.6000000000000085
2003,6.569230769230769,3.0205959146370716,11621.19880177474,1140.683879400842,41151.20050398277,29426.42608064516,16494.80769230769,16625.9375,799.4603061921413,40483.73296307996,1205.918123693183,1120.6347519625563,945.9723721173431,27737.969369954546,17288.90385272727,1355.6796070454577,61249.23043231128,14.571727272727271,81.8,15.988912836006,39496.4858751381,20399.05753424657,634270.0,262730.0,98920.0,113270.0,9665.0,540490.0,5649.238,17487.0,6522.9,98956.8,52073.791695,2643.0,215807.655244424,81.787,-7.8,-38.4182256584574,480.579834256949,1.2000000000000002,90.0127442650807,150.0,0.0,0.0,0.0,20.0,3.919,0.0,0.0,2801.0,1016.86,225.501,3765.0,-7.7549999999999955,11.519307178377636,6.997516750559017,12973.180460851341,2860.7675163835906,93448.79237657065,52995.28825311398,22995.04354959201,28061.67703240656,1676.4518561747132,85466.02256696674,1179.4369186273168,2524.02863079066,1268.61219307435,28103.36314827562,17050.983147791114,813.8570909386889,60259.638682484736,22.259896050933104,30.3,Algeria,7.2,5.84090513563409,2103.38129106939,222.37265753424657,20522.9056924384,11800.0,59850.0,,7.841424657534247,82829.0,942.4,375.676875,741.0,25957.2,16203.2,942.4,67859.943898,7.200000000000003
2004,8.190384615384618,6.386908399111552,13461.957814473037,1178.3482061208008,41849.67927927463,29600.075741935485,17324.115384615383,17852.5,831.8457026766403,41011.23296307996,1267.6671003962288,1150.682522286177,1030.9353316951656,38582.371159636365,22706.875254269693,1588.0636456771563,78202.59497290982,14.694272727272727,53.4,49.4802803399545,42124.9408415757,21104.13934426229,625230.0,264310.0,102050.0,120520.0,10088.0,526120.0,5440.915,17814.0,6813.1,131920.533,71983.934649,3009.4,258742.26302900809,53.38600000000002,1.1,-1.82749470238439,546.909619010829,1.0,100.01416029453412,150.0,0.0,0.0,0.0,100.0,4.0,0.0,0.0,3727.63,1215.634,263.959,5950.0,1.1200000000000043,8.090979298324596,7.922728309614265,14692.050519022896,2947.913539729845,92216.55059506022,53409.01208702086,23734.53921758966,29293.8635852289,1731.965465891607,83385.30761475545,1178.7620159586452,2570.6665650714203,1325.8078194380237,37240.23105356715,22104.44865146967,891.0241436761037,71134.12588315418,14.373181833419105,41.33,Algeria,4.3,2.93454162226593,2610.18542243488,239.1114228609926,19282.730104786177,11350.0,59637.0,,6.73841095890411,82009.0,1311.4,366.8333333333333,893.2,34178.6,21886.4,1311.4,85331.312803,4.299999999999997
2005,5.834615384615383,4.306396560483622,14910.54713512457,1195.6697610518681,43547.584556344395,29703.89806451613,18292.923076923078,19316.59375,834.612973126412,41977.542486889484,1257.01975,1169.2468226250835,1084.4393058319451,54773.13180587182,27881.076562159797,1613.1276666666668,100405.89504348194,7.1354545454545475,26.4,26.6600947307444,51455.9509428993,21167.64931506849,622901.0,264211.0,106272.0,122856.0,10126.0,512636.0,5183.712,17800.0,7208.9,187243.733,84653.505786,3066.8,328205.6912893013,15.028999999999996,-0.8,-7.02036305064239,687.479727391611,1.1,100.01416029453412,150.0,0.0,0.0,0.0,100.0,4.0,0.0,0.0,5065.01,1369.9399999999998,261.628,8183.999999999999,-0.7859999999999872,4.304866861846584,4.9264369161294725,15717.169898446438,2959.46281513642,91941.93234075597,53419.18761974634,24970.62122224539,30250.629904453406,1745.7017205382958,81711.21696612785,1142.385122556863,2573.6211245839277,1397.785654264605,51051.89135531325,27252.925095160303,886.3371947576661,88680.48478177417,4.221867582515762,56.54,Algeria,5.9,4.43825778015616,3113.09488313746,252.3808219178082,23968.393656188047,12270.0,64266.0,,5.916164383561644,89235.0,1352.0,362.4338624338624,967.61,48659.6,24815.1,1352.0,103081.259985,5.900000000000006
2006,6.442307692307693,4.550548723577274,16224.82805283781,1204.998778892426,43666.98711778434,29962.368387096776,19281.576923076922,20192.96875,828.4357477724107,42960.542486889484,1264.944453137257,1170.6755932171357,1079.4091817097765,66219.73615430122,34289.19572585128,1645.4244097603548,121542.25007203956,5.498000000000001,34.5,33.0304877689447,59530.5610001944,21031.40273972603,613675.0,264251.0,102103.0,118543.0,10118.0,525522.0,5085.945,17975.0,7029.36,225206.04840949332,113343.467,3035.6,376397.6022064352,11.548000000000016,-1.9,-5.4974097241295,784.372375930354,1.1,100.01416029453412,150.0,0.0,0.0,0.0,100.0,3.0,0.0,0.0,5450.0,1560.553,227.714,10087.0,-1.9080000000000013,5.7534052175762085,5.153531739561666,16805.053543526905,2939.74430992431,90474.12000488477,53672.247689878415,23964.38796049267,30474.797262947843,1741.8920407059081,83400.63243375253,1127.7061582234862,2597.775894310361,1361.9929486989079,61563.40773523966,35517.41599671894,897.6749908819993,102582.9976331544,4.102319454782974,60.7,Algeria,1.7,0.214792143410605,3478.71000237566,259.9359263013698,25603.62503540073,12200.0,61071.0,,6.63813698630137,88209.0,1368.83,412.6666666666667,947.24,57121.8,25651.6,1368.83,117027.307541,1.6839999999999975
2007,6.3923076923076945,4.380158953957441,18297.452867075648,1216.0657570800781,45153.90603191002,30115.69225806452,20345.76923076923,20962.0,828.4970113464311,44027.90105831806,1264.5868571428575,1176.3757449314044,1110.771758546278,76395.75345766728,46238.9580954028,1652.6925555555556,142759.52629583326,6.750818181818183,25.0,23.5906855604629,65421.3769169684,21004.2794520548,653837.0,264209.0,109906.0,130474.0,10031.0,547014.0,5073.926,17994.0,6962.08,249567.93244752,150123.349217,2981.923,415687.27333716577,15.28200000000001,1.5,-11.3456527143693,906.284229938514,1.36,80.0113282356273,150.0,0.0,0.0,0.0,80.0,2.0,0.0,0.0,6309.0,1704.27,232.467,12457.0,1.8470000000000084,4.295518512349916,4.572754154369776,18372.262230603294,2932.5905782722434,96171.48569353987,54095.0070722159,25744.365882965078,31425.41192251901,1730.247601058836,85990.98116220762,1109.114397054042,2602.3970443152134,1350.3335834444933,69615.70745955629,49521.62683553915,868.2449698909365,114303.49003461545,4.288635401069407,95.66,Algeria,3.4,1.80825261796593,3950.5129931247,282.6198904109589,26460.74653072784,12200.0,58370.0,,7.199671232876713,84827.0,1371.6,417.6666666666667,1253.5,63455.0,33528.4,1371.6,134815.014479,3.3729999999999905
2008,4.498076923076922,2.2912360869992145,20461.848641104138,1195.4047171920752,46350.735898425635,32478.287096774195,21209.80769230769,21654.21875,816.79793834179,45699.19724879424,1274.6603928571428,1181.9962005876307,1096.6876634600708,102763.23268058243,60327.348540101986,1703.5453333333332,181611.77350264808,5.958727272727271,17.8,13.1750169224021,80234.1908337022,19753.822404371585,658740.0,264063.0,103451.0,112816.0,9783.0,572210.0,4999.727,18146.0,7301.71,322853.6482666667,200327.025187,2957.536,519796.7386311289,17.798999999999992,-1.2,-10.2086460930316,990.846611164939,3.86,80.0113282356273,150.0,0.0,0.0,0.0,80.0,2.0,0.0,0.0,9506.0,2096.44,228.279,15582.0,-0.1619999999999919,4.242209619481492,4.360611798233576,20109.2953780513,2766.8363378469826,96905.56064368448,58433.41777027352,25778.715009479056,30405.45966571462,1695.9938337378567,89331.21033027348,1091.2692745096792,2621.9208155977085,1394.766107343965,89957.9556054566,62747.79387691909,885.5019898459354,140880.82744718945,4.884524227150463,35.82,Algeria,2.4,0.738194544500629,4923.63161541179,309.5543426723557,27678.919003115265,12200.0,58830.0,,8.924383561643836,86505.0,1356.0,438.5,840.88,82034.8,49096.3,1356.0,171000.699877,2.3599999999999994
2009,-0.551923076923077,-2.354995895505436,17668.68768167372,1168.4391006499898,45348.570618838494,33774.23203225806,19429.26923076923,21066.9375,759.5211430732996,44952.89128304425,1242.0520357142857,1166.2543859470768,1050.9402031768082,67753.95200122426,54440.448929957536,1579.7144444444443,146093.45994236495,-0.7889999999999963,13.1,7.05060225387908,59094.6591838465,19018.04109589041,648357.0,264590.0,93829.0,106226.0,9013.0,585501.0,5356.751,17882.0,6267.56,202056.54706666668,170121.443159,2878.06,429097.8992790143,8.353000000000009,-15.1,-15.1512246817973,957.995675292236,2.36,80.0113282356273,150.0,0.0,0.0,0.0,10.0,2.753,17.274356226552882,0.0,4739.63,1664.814,228.258,12184.0,-7.075999999999993,4.942456971705446,4.514820722337547,17120.105359804238,2662.140392786586,95164.58678227832,61852.9038179376,23212.789358716247,29059.442897208028,1558.0559808728954,90772.73849347983,1108.3743282472783,2590.172284873515,1208.2928304132045,63243.124132947676,54523.84133576951,849.5229369682351,116819.89994664887,4.221221451837671,77.91,Algeria,1.6,-0.134681878430399,3883.27090043586,315.4191252328767,28760.07193429624,12200.0,52670.0,,7.340054794520547,81426.0,1216.0,462.25,747.47,48542.2,49339.5,1216.0,137234.648908,1.6319999999999908
