;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;
OECD Americas;638.370;635.460;641.500;641.650;671.880;658.410;648.620;613.770;561.840;602.750;576.890;558.790;580.790;607.610;622.250;643.110;648.060;662.630;690.060;709.380;714.530;733.570;737.520;740.750;757.150;773.770;790.670;772.910;782.270;775.280;778.208;771.999;813.172;815.869;803.184;841.024;862.672;893.403;913.953;927.622;959.017;987.247;989.604;1.080.723;1.111.516;1.087.701;1.097.596;1.148.152;;;
Canada;48.460;48.890;51.280;51.770;52.560;52.230;50.680;53.670;51.180;56.810;57.980;57.830;57.040;62.690;67.910;66.790;67.520;71.740;76.830;78.760;80.180;85.270;83.770;84.920;83.040;83.030;85.250;86.060;92.150;90.210;98.031;96.648;96.618;95.538;93.892;94.432;100.851;100.704;104.210;104.510;104.027;123.746;133.063;138.296;138.954;133.021;137.805;143.011;;;
Chile;3.410;3.680;3.450;3.490;2.870;2.480;1.650;1.380;1.340;1.320;800;740;740;1.070;1.060;1.830;1.670;1.790;1.750;1.940;1.900;1.810;2.800;3.250;4.590;5.210;6.470;7.300;8.070;9.160;8.086;7.950;4.425;2.874;3.169;4.139;5.620;5.063;4.674;4.646;4.779;5.323;5.396;6.164;6.229;6.233;6.270;6.855;;;
Mexico;16.770;16.470;16.970;18.950;25.610;27.520;29.020;30.760;30.660;29.690;28.800;27.880;28.170;27.960;28.030;28.920;29.960;30.630;28.260;28.730;29.890;30.330;34.050;37.160;39.110;40.220;40.770;44.450;47.780;50.680;49.190;53.726;58.292;58.717;57.766;60.391;63.080;64.468;64.439;65.425;78.751;81.044;82.458;83.605;86.468;84.401;85.186;83.131;;;
United States;569.730;566.420;569.800;567.440;590.840;576.180;567.270;527.960;478.660;514.930;489.310;472.340;494.840;515.890;525.250;545.570;548.910;558.470;583.220;599.950;602.560;616.160;616.900;615.420;630.410;645.310;658.180;635.100;634.270;625.230;622.901;613.675;653.837;658.740;648.357;682.062;693.121;723.168;740.630;753.041;771.460;777.134;768.687;852.658;879.865;864.046;868.335;915.155;;;
OECD Europe;214.010;233.100;239.570;249.300;266.360;266.080;263.960;252.020;262.100;278.050;289.540;292.980;310.530;303.010;321.030;326.360;345.630;347.600;361.770;365.400;390.460;438.950;432.540;442.730;462.430;478.790;477.010;486.670;506.120;527.820;554.609;548.320;549.525;562.950;534.947;565.273;516.781;508.141;506.748;455.189;473.445;504.607;527.165;511.512;522.793;507.051;537.508;470.330;;;
Austria;4.240;4.920;4.820;5.180;5.190;4.810;4.670;4.200;3.620;5.260;5.360;5.200;5.280;5.240;5.660;6.580;6.630;6.620;6.880;6.980;8.220;8.280;7.450;7.810;7.860;7.890;8.400;8.800;9.090;9.140;10.070;9.410;8.787;8.853;8.684;9.616;9.448;9.004;8.531;7.752;8.334;8.746;9.494;8.982;9.267;8.823;9.344;8.151;;;
Belgium;11.430;12.160;11.930;11.570;12.650;11.920;11.000;9.200;9.240;9.400;9.140;8.530;9.440;8.640;9.800;9.630;10.850;11.760;11.860;11.560;12.740;15.600;14.300;15.320;16.120;15.950;15.620;15.100;16.000;16.400;14.827;15.116;14.744;14.612;16.872;19.530;17.193;17.861;17.742;15.558;16.778;17.019;17.788;18.325;18.484;18.276;18.343;15.737;;;
France;20.150;22.350;23.190;25.880;27.110;28.440;29.310;26.640;29.810;28.880;31.060;29.970;30.750;28.520;30.230;32.230;34.630;36.090;34.080;35.390;37.050;38.630;37.590;38.260;42.470;43.510;42.700;43.270;42.780;45.410;47.388;44.893;44.242;45.853;44.998;49.776;41.519;42.586;43.314;36.279;38.788;42.699;42.874;40.861;41.614;38.562;40.866;36.963;;;
Germany;51.820;54.810;58.200;61.310;67.800;72.310;70.150;63.400;66.530;70.430;67.460;66.300;72.140;71.320;76.010;75.200;76.120;77.060;80.300;82.220;85.490;96.800;93.870;91.870;93.580;91.890;94.730;96.030;94.910;97.650;101.754;99.848;96.167;95.752;96.266;88.863;79.774;82.277;90.923;77.611;81.292;89.133;92.473;85.316;91.792;89.292;93.627;79.259;;;
Italy;23.330;27.460;26.680;27.880;28.150;26.900;28.170;28.070;27.770;32.600;33.690;36.210;40.050;41.570;45.530;48.230;51.030;52.680;52.490;50.230;55.390;57.540;58.610;61.630;67.040;74.400;70.300;72.820;75.940;80.590;86.273;84.423;84.913;85.448;78.126;82.983;77.832;74.925;70.057;61.912;67.524;70.914;75.150;72.667;74.316;70.920;76.108;68.546;;;
Netherlands;43.530;45.770;45.240;43.820;42.470;36.610;33.870;33.120;34.810;37.150;40.750;41.600;43.730;39.900;40.200;39.820;44.420;43.580;44.570;42.550;43.350;48.480;47.620;48.850;44.370;43.730;41.390;42.120;44.300;44.640;49.484;48.076;46.595;50.262;48.598;53.192;47.735;45.820;46.520;40.277;40.139;42.032;43.457;43.041;44.912;44.067;42.278;32.996;;;
