,Data,Preco
0,2024-05-03,83.6
1,2024-05-02,84.81
2,2024-05-01,83.55
3,2024-04-30,88.23
4,2024-04-29,88.44
5,2024-04-26,89.95
6,2024-04-25,88.1
7,2024-04-24,89.02
8,2024-04-23,88.29
9,2024-04-22,87.3
10,2024-04-19,87.96
11,2024-04-18,88.34
12,2024-04-17,89.54
13,2024-04-16,91.29
14,2024-04-15,90.84
15,2024-04-12,93.12
16,2024-04-11,91.49
17,2024-04-10,91.57
18,2024-04-09,92.13
19,2024-04-08,91.73
20,2024-04-05,92.81
21,2024-04-04,90.32
22,2024-04-03,90.6
23,2024-04-02,87.63
24,2024-03-28,86.17
25,2024-03-27,84.94
26,2024-03-26,85.91
27,2024-03-25,86.18
28,2024-03-22,84.87
29,2024-03-21,84.92
30,2024-03-20,85.77
31,2024-03-19,87.36
32,2024-03-18,86.47
33,2024-03-15,85.39
34,2024-03-14,86.16
35,2024-03-13,83.95
36,2024-03-12,83.66
37,2024-03-11,83.44
38,2024-03-08,84.29
39,2024-03-07,84.88
40,2024-03-06,86.59
41,2024-03-05,85.82
42,2024-03-04,86.58
43,2024-03-01,84.82
44,2024-02-29,84.57
45,2024-02-28,84.08
46,2024-02-27,83.8
47,2024-02-26,84.01
48,2024-02-23,84.18
49,2024-02-22,85.84
50,2024-02-21,84.77
51,2024-02-20,84.78
52,2024-02-19,85.52
53,2024-02-16,84.88
54,2024-02-15,84.33
55,2024-02-14,84.41
56,2024-02-13,84.72
57,2024-02-12,83.88
58,2024-02-09,83.58
59,2024-02-08,83.01
60,2024-02-07,81.18
61,2024-02-06,80.46
62,2024-02-05,79.3
63,2024-02-02,79.54
64,2024-02-01,82.2
65,2024-01-31,82.98
66,2024-01-30,84.14
67,2024-01-29,83.99
68,2024-01-26,83.34
69,2024-01-25,82.33
70,2024-01-24,82.15
71,2024-01-23,82.04
72,2024-01-22,81.7
73,2024-01-19,80.71
74,2024-01-18,81.04
75,2024-01-17,78.88
76,2024-01-16,80.15
77,2024-01-15,79.76
78,2024-01-12,79.89
79,2024-01-11,80.21
80,2024-01-10,78.46
81,2024-01-09,77.97
82,2024-01-08,75.47
83,2024-01-05,78.31
84,2024-01-04,75.79
85,2024-01-03,77.18
86,2024-01-02,76.24
87,2023-12-29,77.69
88,2023-12-28,79.04
89,2023-12-27,80.97
90,2023-12-26,80.23
91,2023-12-22,80.23
92,2023-12-21,80.73
93,2023-12-20,81.1
94,2023-12-19,79.82
95,2023-12-18,78.89
96,2023-12-15,76.84
97,2023-12-14,77.05
98,2023-12-13,74.14
99,2023-12-12,74.11
100,2023-12-11,75.75
101,2023-12-08,75.94
102,2023-12-07,74.21
103,2023-12-06,74.33
104,2023-12-05,77.27
105,2023-12-04,78.16
106,2023-12-01,78.72
107,2023-11-30,81.72
108,2023-11-29,82.98
109,2023-11-28,81.66
110,2023-11-27,79.49
111,2023-11-24,79.82
112,2023-11-23,80.85
113,2023-11-22,81.76
114,2023-11-21,82.42
115,2023-11-20,83.25
116,2023-11-17,81.22
117,2023-11-16,77.73
118,2023-11-15,82.4
119,2023-11-14,84.2
120,2023-11-13,84.09
121,2023-11-10,83.66
122,2023-11-09,81.74
123,2023-11-08,81.46
124,2023-11-07,83.43
125,2023-11-06,87.31
126,2023-10-30,90.73
127,2023-10-27,90.73
128,2023-10-26,88.45
129,2023-10-25,90.14
130,2023-10-24,88.0
131,2023-10-23,91.88
132,2023-10-20,93.72
133,2023-10-19,93.12
134,2023-10-18,91.99
135,2023-10-17,92.52
136,2023-10-16,90.99
137,2023-10-13,94.33
138,2023-10-12,88.4
139,2023-10-11,87.58
140,2023-10-10,90.7
141,2023-10-09,91.37
142,2023-10-06,87.86
143,2023-10-05,88.28
144,2023-10-04,89.83
145,2023-10-03,94.46
146,2023-10-02,91.21
147,2023-09-29,95.86
148,2023-09-28,96.55
149,2023-09-27,97.1
150,2023-09-26,94.46
151,2023-09-25,94.01
152,2023-09-22,93.99
153,2023-09-21,93.7
154,2023-09-20,94.56
155,2023-09-19,96.11
156,2023-09-18,95.95
157,2023-09-15,95.55
158,2023-09-14,95.2
159,2023-09-13,93.04
160,2023-09-12,93.58
161,2023-09-11,91.97
162,2023-09-08,91.85
163,2023-09-07,91.16
164,2023-09-06,91.79
165,2023-09-05,91.25
166,2023-09-04,90.42
167,2023-08-31,87.29
168,2023-08-30,86.62
169,2023-08-29,86.37
170,2023-08-25,85.42
171,2023-08-24,84.07
172,2023-08-23,83.94
173,2023-08-22,84.7
174,2023-08-21,85.44
175,2023-08-18,85.92
176,2023-08-17,85.24
177,2023-08-16,84.49
